,Spanish,English
524,estaban,They were
525,seguridad,security
526,maldita,damned
527,estuvo,he was
528,preocupes,worry
529,palabra,word
530,esperando,expecting
531,queda,is left over
532,oficina,office
533,matar,kill
534,iré,I will go
535,cama,bed
536,además,what's more
537,último,latest
538,oído,hearing
539,habría,there would be
540,estará,will be
541,dio,gave
542,recuerdo,I remember
543,siendo,being
544,acerca,about
545,tenga,have
546,luz,light
547,correcto,Right
548,ud.,You.
549,demonios,got damn
550,nuestras,our
551,verte,to see you
552,dormir,sleep
553,sitio,site
554,ayudar,to help
555,conseguir,to get
556,di,gave
557,marido,husband
558,paz,peace
559,idiota,moron
560,plan,plan
561,dado,dice
562,cuanto,how much
563,peor,worse
565,pueblo,town
566,vivo,alive
567,venido,I come
568,john,john
569,basta,Enough
570,paso,He passed
571,deberíamos,we should
572,música,music
573,diga,tell
574,minuto,minute
575,anoche,last night
576,llamar,to call
577,piensa,think
578,país,country
579,digas,you say
580,rey,King
581,perdón,sorry
582,mucha,a lot
583,falta,lack
584,pienso,I think
585,diablos,Devils
586,perdido,lost
587,niña,little girl
588,señorita,miss
589,diez,ten
590,lleva,carry
591,hospital,hospital
592,grandes,big
593,maldito,damned
594,otras,other
595,llamado,called
596,hacemos,we make
597,llevar,wear
598,fuego,fire
599,aqui,here
600,tuvo,He had
601,poner,set
602,calle,Street
603,acaba,just
604,prueba,proof
605,increíble,amazing
606,real,real
607,libro,book
608,orden,order
609,semanas,weeks
610,especial,special
611,café,coffee
612,duro,Lasted
613,empezar,begin
614,afuera,outside
615,queremos,we want
616,perro,dog
617,cielo,Darling
618,puesto,Market Stall
619,viaje,travel
620,detrás,behind
621,cuarto,bedroom
622,querida,Dear
623,haría,would do
624,preguntas,questions
625,piensas,think
626,querido,my love
627,libre,free
628,buscar,search
629,cual,which
630,diré,I'll say
631,suena,dream
632,jugar,play
633,cambio,change
634,película,film
635,millones,millions
636,habrá,there will be
637,llamada,call
638,resto,rest
639,vemos,we see
640,extraño,strange
641,mala,bad
642,presidente,President
643,srta.,Ms.
644,irme,leave
645,ropa,clothing
646,perder,to lose
647,vuelve,comes back
648,agente,agent
649,palabras,words
650,información,information
651,raro,weird
652,hará,will
653,entiendes,You understand
654,éste,this
655,trabajando,working
656,tratando,trying
657,general,general
658,trato,treatment
659,usar,use
660,perfecto,perfect
661,derecho,right
662,modo,mode
663,ayer,Yesterday
664,conoces,you know
665,demás,the rest
666,quieras,want
667,podríamos,we could
668,noticias,news
669,asesino,assassin
670,encontrado,found
671,control,control
672,odio,hate
673,frente,front
675,decirle,tell
676,estaré,I will be
677,divertido,funny
678,armas,weapons
679,recuerdas,remember
680,amiga,friend
681,grupo,group
682,asunto,affair
683,acabo,finished
684,mensaje,message
685,encima,above
686,atención,attention
687,diferente,different
688,uh,uh
689,cállate,shut
690,daño,hurt
691,cambiar,change
692,siguiente,following
693,sino,otherwise
694,the,the
695,seas,be
696,médico,doctor
697,boca,mouth
698,dejó,let
699,error,error
700,jamás,Never
701,largo,length
702,pena,pain
703,voz,voice
704,futuro,future
705,siente,feels
706,secreto,secret
707,baño,bath
708,mil,one thousand
709,decirte,tell you
710,sam,sam
711,pensaba,thought
712,novia,bride
713,propia,own
714,sueño,dream
715,haz,do
716,fuerza,force
717,deben,should
718,supone,supposed
719,estábamos,we were
720,ambos,both of them
721,ay,Oh
722,estuve,was
723,encontré,I found
724,vuelto,turned
725,dolor,pain
726,dile,tell him
727,encanta,loves
728,edad,age
729,darle,give him
730,pie,foot
731,negro,black
732,ganar,to win
733,york,york
734,aire,air
735,lamento,lament
736,verlo,see him
737,asesinato,murder
738,vio,he saw
739,adónde,where to
740,llegado,arrived
741,disculpe,excuse me
742,s,s
743,cita,date
744,estaría,It would
745,fuiste,you were
746,sistema,system
747,gusto,taste
748,pobre,poor
749,negocio,deal
750,mente,mind
751,tuyo,yours
752,campo,field
753,mire,Look
754,situación,situation
755,tras,after
756,hotel,hotel
757,,
758,funciona,it works
759,foto,Photo
760,abogado,attorney
761,loca,crazy
762,propio,own self
763,alrededor,around
764,próxima,next
765,terminado,finished
766,hablas,speak
767,pagar,to pay
768,mató,he killed
769,llamo,I call
770,personal,personal
771,sientes,you feel
772,ocurre,occurs
773,ésta,is
774,recuerda,remember
775,mitad,half
776,quiera,want
777,pelo,hair
778,tenías,had
779,viste,dresses
780,oficial,official
781,llegó,I arrive
782,compañía,company
783,relación,relationship
784,conoce,known
785,pase,happens
786,montón,heap
787,mejores,top
788,creí,thought
789,cena,Dinner
790,sentir,feel
791,través,through
792,accidente,accident
793,i,i
794,ellas,they
795,caja,box
796,tranquilo,quiet
797,bonito,nice
798,eras,ages
799,asi,So
800,pudo,could
801,vive,it lives
802,vista,sight
803,estúpido,stupid
804,línea,line
805,caballeros,gentlemen
806,haremos,will
807,dan,give
808,quédate,stay
809,tienda,store
810,comprar,purchase
811,entendido,understood
812,centro,center
813,salvo,except
814,mes,month
815,joe,joe
816,sol,Sun
817,tonto,fool
818,hambre,hunger
819,michael,Michael
820,mesa,table
821,respuesta,answer
822,david,David
823,carta,letter
824,totalmente,totally
825,imposible,impossible
826,pruebas,tests
827,novio,boyfriend
828,normal,normal
829,gustan,like
830,frank,frank
831,pude,I could
832,charlie,charlie
833,traje,suit
834,dirección,address
835,siete,seven
836,dijeron,they said
837,placer,pleasure
838,sean,are
839,tendrá,will have
840,barco,boat
841,blanco,White
842,tom,tom
843,profesor,teacher
844,servicio,service
845,muchacho,young guy
846,reunión,meeting
847,dejado,left
848,ley,law
849,quisiera,I'd like
850,hubo,there was
851,george,george
852,programa,Program
853,carrera,race
854,cumpleaños,birthday
855,muchachos,boys
856,culo,ass
857,canción,song
858,hermosa,beautifull
859,universidad,University
860,boda,wedding
861,decirme,tell me
862,cualquiera,anyone
863,tengas,you have
864,hacía,toward
865,estés,re
866,sala,living room
867,llevo,I wear
868,decisión,decision
869,espere,Wait
870,don,Don
871,necesario,necessary
872,sal,Salt
873,entra,enters
874,prisa,rush
875,carajo,fuck
876,embargo,embargo
877,interesante,interesting
878,tendrás,you will have
879,escuchar,hear
880,abuela,Grandma
881,hicieron,they made
882,detective,detective
883,horrible,horrible
884,suelo,ground
885,fotos,Photos
886,cárcel,jail
887,acá,here
888,io,io
889,mike,mike
890,siéntate,Sit down
891,decía,He said
892,intentando,trying
893,vámonos,Let's go
894,maldición,curse
895,silencio,be quiet
896,muerta,dead
897,capaz,capable
898,salió,he left
899,club,club
900,terminar,finish
901,temo,fear
902,broma,joke
903,gobierno,government
904,prometo,I promise
905,cámara,camera
906,media,half
907,terrible,terrible
908,llamó,I call
909,regalo,gift
910,amable,friendly
911,dulce,sweet
912,muertos,dead
913,querías,wanted
914,ataque,attack
915,das,you give
916,navidad,Christmas
917,negocios,business
918,pudiera,could
919,ocho,Eight
920,avión,plane
921,investigación,research
922,acabó,just
923,juro,I swear
924,mantener,keep
925,ejército,army
926,papel,paper
927,partes,parts
928,ten,ten
929,gracioso,funny
930,diría,would say
931,principio,beginning
932,delante,in front
933,teniente,lieutenant
934,deseo,desire
935,vayas,go
936,nave,ship
937,sale,comes out
938,basura,trash
939,vine,came
940,contacto,Contact
941,esposo,husband
942,tren,train
943,encontramos,we find
944,dale,Go ahead
945,verdadero,true
946,tuya,yours
947,alma,soul
948,hazlo,do it
949,disculpa,sorry
950,junto,together
951,anda,anda
952,tendré,I will have
953,matrimonio,marriage
954,saberlo,I know
955,locura,craziness
956,oro,gold
957,permiso,Excuse me
958,director,director
959,peligro,danger
960,libertad,Liberty
961,alegro,glad
962,baja,come down
963,tendremos,we will have
964,derecha,right
965,encuentra,find
966,pies,feet
967,segunda,second
968,maravilloso,marvelous
969,espacio,space
970,rato,little while
971,abuelo,Grandpa
972,esperaba,I expected
973,mirando,looking
974,salud,Health
975,sorpresa,surprise
976,ninguno,none
977,miren,look
978,triste,sad
979,aun,yet
980,pensado,thought-out
981,maestro,teacher
982,según,according
983,infierno,hell
984,podrían,could
985,tipos,types
986,tía,aunt
987,crimen,crime
988,conocido,known
989,consejo,advice
990,ante,in view of
991,iglesia,church
